Seed;553488;;;;;;;;;;;;;;;
SmoothNormals;True;;;;;;;;;;;;;;;
InterpolateVertices;True;;;;;;;;;;;;;;;
TrimOutputBuffer;False;;;;;;;;;;;;;;;
ChunkSize;25;;;;;;;;;;;;;;;
TerrainSizeX;20;;;;;;;;;;;;;;;
TerrainSizeY;10;;;;;;;;;;;;;;;
TerrainSizeZ;20;;;;;;;;;;;;;;;
NoiseFrequency;13;;;;;;;;;;;;;;;
NoiseStrength;0,05;;;;;;;;;;;;;;;
NoiseLayers;3;;;;;;;;;;;;;;;
NoiseLayerFrequencyMultiplier;2,1;;;;;;;;;;;;;;;
cubesPerUnitLimit;15;;;;;;;;;;;;;;;
numberOfShortMeasurments;10;;;;;;;;;;;;;;;
numberOfLongMeasurments;3;;;;;;;;;;;;;;;
shortMeasurmentTresholdSeconds;10;;;;;;;;;;;;;;;
measurmentLengthLimitSeconds;180;;;;;;;;;;;;;;;
fpsMeasurmentDurationSeconds;5;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CPU;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
1;4000;8;0;5;0;30;0;0;0;0;0;31;28;74;27;0
2;32000;52;0;24;0;126;1;2;0;0;0;37;0;241;2;0
3;108000;174;0;74;0;278;1;5;0;0;0;39;0;570;4;0
4;256000;385;1;160;1;504;3;11;0;0;0;40;1;1100;7;0
5;500000;804;4;314;1;783;3;19;0;0;0;41;0;1960;11;0
6;864000;1326;9;546;9318;1139;67;33;13;0;0;44;4;3088;11602;0
7;1372000;2118;7;840;11480;1562;191;50;45;0;0;47;7;4616;13029;0
8;2048000;3065;5;1233;23223;2063;658;75;120;0;0;50;6;6487;36238;0
9;2916000;4591;5220;1750;18233;2721;23895;113;528;0;0;55;9;9230;55720;0
10;4000000;6269;2948;2492;73699;3395;3978;164;753;0;0;59;4;12379;119284;0
11;5324000;8392;1740;3272;88568;4323;99541;235;1904;0;0;66;0;16287;181159;0
12;6912000;10693;329;4330;101226;5038;2116;295;1002;0;0;76;6;20432;101890;0
13;8788000;14420;178723;5542;672685;6087;691;385;352;0;0;89;1;26523;1305864;0
14;10976000;18500;2495484;6822;897048;7452;188903;508;1043;0;0;97;11;33379;1861140;0
15;13500000;21791;794153;9094;1891661;8850;449546;1532;518636;0;0;106;2;41374;436076;0
;;;;;;;;;;;;;;;;
CPU_Multithreading;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
1;4000;9;1;5;0;31;8;3;1;0;0;27;12;48;6;0
2;32000;53;2;25;0;133;10;5;1;0;0;25;0;216;14;0
3;108000;89;8;51;11;147;29;9;2;0;0;25;0;296;50;0
4;256000;118;42;140;116;161;26;9;1;0;0;25;0;429;73;0
5;500000;185;17;226;36;162;18;14;0;0;0;24;0;587;99;0
6;864000;201;25;860;715;219;28;11;0;0;0;24;0;1291;662;0
7;1372000;323;92;1605;7060;309;206;16;3;0;0;24;0;2253;7183;0
8;2048000;371;126;3022;3456;472;481;13;1;0;0;25;0;3878;4556;0
9;2916000;609;671;4127;45638;646;2690;77;6445;0;0;25;0;5459;47611;0
10;4000000;797;989;6151;56677;1032;7222;42;259;0;0;25;0;8021;103953;0
11;5324000;1113;6265;8046;145469;1498;1872;71;592;0;0;25;0;10728;231999;0
12;6912000;1698;176512;10166;219617;2317;12608;70;222;0;0;25;0;14251;622212;0
13;8788000;2598;278714;13717;89434;3319;50607;252;4826;0;0;25;0;19886;71445;0
14;10976000;2540;40407;16374;90792;4101;15308;178;3553;0;0;24;0;23193;157934;0
15;13500000;3078;22152;20987;80728;5402;63714;238;2521;0;0;25;0;29705;94154;0
;;;;;;;;;;;;;;;;
CPU_GPU;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
1;4000;0;0;0;0;0;0;5;0;0;0;30;24;35;26;0
2;32000;0;0;0;0;0;0;7;0;0;0;31;26;38;28;0
3;108000;0;0;0;0;0;0;31;40;0;0;33;26;64;22;0
4;256000;0;0;0;0;0;0;38;39;0;0;36;28;74;57;0
5;500000;0;0;0;0;0;0;77;184;0;0;40;13;118;249;0
6;864000;0;0;0;0;0;0;72;12;0;0;41;21;114;43;0
7;1372000;1;0;0;0;0;0;122;10;0;0;46;0;169;11;0
8;2048000;1;0;0;0;0;0;133;10;0;0;49;3;183;16;0
9;2916000;1;0;1;0;1;0;269;42;0;0;55;11;327;46;0
10;4000000;1;0;1;0;1;0;286;8;0;0;57;6;346;10;0
11;5324000;2;0;1;0;1;0;401;25;0;0;63;8;468;28;0
12;6912000;2;0;1;0;1;0;415;2;0;0;68;25;487;22;0
13;8788000;4;0;2;0;2;0;708;19;0;0;77;45;792;88;0
14;10976000;4;0;2;0;1;0;736;15;0;0;85;33;828;52;0
15;13500000;4;0;2;0;2;0;772;68;0;0;92;31;871;123;0
;;;;;;;;;;;;;;;;
GPU_NoGeometryExact;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
