Seed;553488
SmoothNormals;True
InterpolateVertices;True
TrimOutputBuffer;False
ChunkSize;25,00
TerrainSizeX;20,00
TerrainSizeY;10,00
TerrainSizeZ;20,00
NoiseFrequency;13,00
NoiseStrength;0,05
NoiseLayers;3
NoiseLayerFrequencyMultiplier;2,10
cubesPerUnitLimit;15
numberOfShortMeasurments;10
numberOfLongMeasurments;3
shortMeasurmentTresholdSeconds;10,00
measurmentLengthLimitSeconds;10,00
fpsMeasurmentDurationSeconds;5,00

CPU
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
1;4000;8,49;8,45;8,53;4,34;4,30;4,37;29,42;29,31;29,78;0,46;0,43;0,49;0,00;0,00;0,00;31,63;26,14;37,18;74,34;68,89;80,22;0;199,40
2;32000;52,54;52,01;55,32;24,12;23,89;24,52;126,74;126,16;128,06;2,47;2,28;3,18;0,00;0,00;0,00;36,87;36,22;37,62;242,73;241,35;244,59;0;200,40
3;108000;176,06;175,47;176,61;74,28;73,97;74,87;281,57;280,60;283,61;6,09;5,89;6,25;0,00;0,00;0,00;38,09;37,44;38,94;576,09;574,82;579,54;0;199,60
4;256000;389,09;387,69;391,98;161,58;159,41;164,20;510,15;507,75;516,11;12,81;12,23;13,41;0,00;0,00;0,00;40,26;37,50;45,16;1113,88;1107,37;1120,19;0;198,60
5;500000;812,46;810,44;820,55;315,99;312,03;321,44;793,50;789,22;803,88;38,45;21,08;184,52;0,00;0,00;0,00;41,97;40,31;47,37;2002,38;1973,82;2160,93;0;200,20
6;864000;1343,60;1338,76;1351,31;536,04;511,40;695,69;1174,31;1146,03;1322,97;40,30;34,73;54,70;0,00;0,00;0,00;44,75;41,79;53,98;3139,01;3075,64;3293,02;0;198,60
7;1372000;2149,18;2140,16;2158,57;852,59;810,35;1020,47;1613,22;1571,12;1790,05;62,97;52,62;83,92;0,00;0,00;0,00;47,65;44,13;60,13;4725,61;4622,74;4892,36;0;196,20
8;2048000;3156,55;3098,43;3355,85;1253,65;1163,44;1457,29;2142,40;2088,18;2354,07;96,35;82,22;114,39;0,00;0,00;0,00;52,17;46,61;60,42;6701,11;6488,68;6844,54;0;197,60
9;2916000;4966,38;4593,83;5279,40;1742,46;1694,34;2061,02;2728,85;2654,37;2779,95;160,90;113,31;407,36;0,00;0,00;0,00;57,30;51,92;72,51;9655,89;9168,89;9975,22;0;195,00
10;4000000;6695,89;6151,48;6925,30;2395,83;2298,66;2672,46;3424,67;3389,49;3457,47;292,75;186,14;591,30;0,00;0,00;0,00;69,88;58,64;80,16;12879,01;12807,19;12955,23;0;197,40
11;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
12;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
13;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
14;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
15;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00

CPU_Multithreading
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
1;4000;8,60;8,50;9,08;4,52;4,46;4,58;30,11;29,75;32,20;3,76;1,53;8,52;0,00;0,00;0,00;27,44;24,87;34,45;46,98;45,86;51,49;0;200,00
2;32000;52,35;52,09;53,71;24,65;24,19;25,07;128,62;127,47;131,57;5,11;2,94;7,81;0,00;0,00;0,00;24,73;24,35;24,91;210,73;206,98;212,67;0;200,20
3;108000;87,52;86,04;90,62;49,49;48,40;51,52;142,14;140,71;144,51;9,26;6,23;11,57;0,00;0,00;0,00;24,67;24,47;24,84;288,41;283,99;293,38;0;200,20
4;256000;113,90;108,34;127,99;140,32;107,09;152,25;155,53;147,96;171,18;8,35;6,85;9,88;0,00;0,00;0,00;24,62;24,29;25,09;418,10;404,09;446,02;0;200,20
5;500000;173,89;168,57;178,70;239,76;223,58;253,19;154,98;153,13;156,31;13,43;11,58;15,00;0,00;0,00;0,00;24,43;23,74;24,73;582,05;569,02;594,55;0;200,40
6;864000;221,95;183,76;455,52;833,55;783,61;1041,53;209,24;198,83;218,38;10,50;9,71;11,93;0,00;0,00;0,00;24,36;24,18;24,69;1275,24;1203,66;1500,23;0;199,80
7;1372000;301,83;277,04;324,52;1497,15;1376,04;1760,18;304,50;273,33;400,71;21,24;12,06;47,73;0,00;0,00;0,00;24,36;24,00;24,79;2124,73;1988,91;2413,24;0;200,40
8;2048000;363,59;347,75;378,33;2760,02;2650,08;2851,77;431,52;394,00;466,72;13,38;11,94;15,73;0,00;0,00;0,00;24,67;24,33;24,98;3568,52;3508,55;3645,10;0;200,20
9;2916000;608,41;446,59;720,20;3599,25;3119,84;4146,76;569,09;450,90;712,12;369,12;51,53;1369,64;0,00;0,00;0,00;24,59;24,40;24,76;5145,88;4723,08;5675,79;0;200,40
10;4000000;748,38;677,57;891,02;5799,39;5270,88;6098,60;889,36;753,57;1002,10;88,72;40,13;293,25;0,00;0,00;0,00;24,40;23,86;24,72;7525,85;6856,27;7939,95;0;200,40
11;5324000;1006,07;934,16;1106,42;7433,37;6808,46;7685,61;1387,98;1241,39;1456,17;254,94;97,58;653,60;0,00;0,00;0,00;24,55;24,40;24,66;10082,36;9685,56;10320,51;0;200,40
12;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
13;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
14;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00
15;0;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;NaN;0,00;0,00;0;0,00

CPU_GPU
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
1;4000;0,04;0,04;0,05;0,01;0,01;0,01;0,01;0,01;0,01;2,72;2,17;4,12;0,00;0,00;0,00;29,69;26,19;36,87;32,47;28,45;40,28;0;200,00
2;32000;0,04;0,04;0,05;0,01;0,01;0,02;0,01;0,01;0,01;6,89;5,95;11,78;0,00;0,00;0,00;31,11;27,05;37,19;38,07;33,07;48,35;0;200,40
3;108000;0,12;0,10;0,15;0,04;0,04;0,05;0,04;0,03;0,04;24,39;11,37;38,26;0,00;0,00;0,00;34,17;27,74;38,21;58,76;49,30;76,45;0;200,20
4;256000;0,14;0,12;0,16;0,05;0,04;0,05;0,04;0,03;0,04;35,47;24,34;46,35;0,00;0,00;0,00;35,27;28,00;45,59;70,96;53,93;92,15;0;199,80
5;500000;0,37;0,32;0,43;0,17;0,16;0,19;0,14;0,13;0,16;79,25;58,73;149,07;0,00;0,00;0,00;40,31;31,05;50,23;120,24;90,47;200,08;0;199,80
6;864000;0,42;0,39;0,50;0,18;0,17;0,20;0,15;0,14;0,16;92,85;65,81;172,64;0,00;0,00;0,00;43,17;33,09;58,01;136,76;105,70;217,39;0;200,20
7;1372000;0,67;0,61;0,77;0,31;0,29;0,33;0,25;0,24;0,27;133,65;115,58;227,18;0,00;0,00;0,00;47,79;44,86;60,14;182,67;162,17;288,63;0;200,20
8;2048000;0,66;0,60;0,74;0,31;0,29;0,33;0,25;0,25;0,26;142,92;124,44;239,06;0,00;0,00;0,00;49,79;46,49;60,80;193,93;172,09;301,18;0;200,40
9;2916000;1,44;1,34;1,57;0,71;0,68;0,76;0,58;0,56;0,60;279,19;258,83;410,24;0,00;0,00;0,00;54,30;51,34;65,20;336,22;313,61;478,33;0;200,40
10;4000000;1,50;1,43;1,72;0,71;0,69;0,76;0,58;0,57;0,61;299,65;277,78;417,16;0,00;0,00;0,00;56,32;54,01;66,52;358,77;334,53;486,53;0;197,20
11;5324000;2,14;1,91;2,35;1,03;0,96;1,09;0,84;0,80;0,89;413,58;387,10;536,42;0,00;0,00;0,00;63,97;60,48;70,56;481,56;452,48;611,18;0;200,20
12;6912000;2,14;2,02;2,36;1,03;0,99;1,07;0,83;0,81;0,86;425,61;411,84;507,94;0,00;0,00;0,00;66,62;61,80;75,92;496,24;481,03;587,69;0;200,00
13;8788000;3,68;3,49;3,90;1,83;1,77;1,91;1,50;1,47;1,54;716,24;697,96;798,94;0,00;0,00;0,00;77,26;74,49;86,58;800,52;779,73;885,24;0;200,20
